School_Name,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
HIGHLAND ELEMENTARY,674.0,93.3,5.6,0.9,3.9,0.9,0.1,4.5,4.5,4.5,5.0,4.0,5.2,629.0,38.0,6.0,26.0,6.0,1.0,30.0,30.0,30.0,34.0,27.0,35.0,LAKE STEVENS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,"3220 113TH AVENUE NE
LAKE STEVENS
(48.026836, -122.078864)"
CARSON ELEMENTARY,277.0,90.3,4.3,1.1,2.5,0.4,0.4,2.5,2.5,2.2,2.9,2.2,2.9,250.0,12.0,3.0,7.0,1.0,1.0,7.0,7.0,6.0,8.0,6.0,8.0,STEVENSON-CARSON SCHOOL DISTRICT,SKAMANIA,EDUCATIONAL SERVICE DISTRICT 112,3-6,N,Y,"350 NW ROOSEVELT ST.
STEVENSON"
BEACHWOOD ELEMENTARY SCHOOL,318.0,93.7,0.9,0.0,0.3,0.6,0.0,0.6,0.6,0.9,0.6,0.6,0.6,298.0,3.0,0.0,1.0,2.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"AMERICAN LK AVE & CONCORD ST
LAKEWOOD"
EISMANN ELEMENTARY,608.0,95.6,3.9,0.7,3.3,0.2,0.0,2.5,2.5,2.8,3.0,3.0,3.6,581.0,24.0,4.0,20.0,1.0,0.0,15.0,15.0,17.0,18.0,18.0,22.0,SUMNER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"13802 CANYON VIEW BLVD. EAST
BONNEY LAKE"
BARKER CENTER,107.0,85.0,3.7,0.0,3.7,0.0,0.0,3.7,2.8,1.9,2.8,1.9,1.9,91.0,4.0,0.0,4.0,0.0,0.0,4.0,3.0,2.0,3.0,2.0,2.0,CENTRAL VALLEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N,"13313 E BROADWAY
SPOKANE VALLEY
(47.664349, -117.224792)"
ST. JOSEPH CATHOLIC SCHOOL OF ISSAQUAH,278.0,90.6,1.4,1.4,0.0,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,252.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,ISSAQUAH SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,"200 MOUNTAIN PARK BLVD
ISSAQUAH"
HORIZON MIDDLE SCHOOL,456.0,89.7,7.5,0.7,6.8,0.2,0.0,3.7,3.5,3.5,3.7,3.1,5.7,409.0,34.0,3.0,31.0,1.0,0.0,17.0,16.0,16.0,17.0,14.0,26.0,FERNDALE SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,N,N,"P.O. BOX 1769
FERNDALE"
COLVILLE JUNIOR HIGH SCHOOL,394.0,79.7,13.2,1.3,10.9,1.0,0.3,10.4,9.6,7.6,8.6,7.6,9.1,314.0,52.0,5.0,43.0,4.0,1.0,41.0,38.0,30.0,34.0,30.0,36.0,COLVILLE SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,6-8,N,Y,"990 S CEDAR ST
COLVILLE
(48.535695, -117.898481)"
PRESCOTT JR SR HIGH,128.0,84.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRESCOTT SCHOOL DISTRICT,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,7-12,N,N,"PO BOX 65
PRESCOTT"
ROCHESTER MIDDLE SCHOOL,525.0,77.7,5.5,0.4,5.0,0.4,0.0,2.3,1.5,2.7,2.9,2.7,3.8,408.0,29.0,2.0,26.0,2.0,0.0,12.0,8.0,14.0,15.0,14.0,20.0,ROCHESTER SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,6-8,N,Y,"P.O. BOX 398
ROCHESTER"
HOLY INNOCENTS SCHOOL OF NW,23.0,95.7,4.3,0.0,4.3,0.0,0.0,0.0,4.3,4.3,4.3,4.3,4.3,22.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-12,Y,Y,"2530 S 298TH ST
FEDERAL WAY
(47.335022, -122.300263)"
CENTENNIAL MIDDLE SCHOOL,615.0,87.5,7.2,1.1,5.4,0.7,0.0,4.4,4.2,3.3,3.1,2.9,5.4,538.0,44.0,7.0,33.0,4.0,0.0,27.0,26.0,20.0,19.0,18.0,33.0,WEST VALLEY SCHOOL DISTRICT (SPOKANE),SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,6-8,N,Y,"915 N ELLA RD
SPOKANE
(47.66616, -117.298942)"
OAKVILLE ELEMENTARY,102.0,90.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OAKVILLE SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y,"PO BOX H
OAKVILLE"
CASCADE CHRISTIAN SCHOOL--PUYALLUP ELEMENTARY,250.0,84.8,12.4,0.8,11.6,0.0,0.0,6.4,6.4,6.0,6.4,8.4,10.4,212.0,31.0,2.0,29.0,0.0,0.0,16.0,16.0,15.0,16.0,21.0,26.0,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-6,Y,Y,"601 9TH AVE SE
PUYALLUP
(47.184358, -122.287287)"
DESERT HILLS MIDDLE SCHOOL,820.0,94.8,5.0,0.6,4.3,0.1,0.0,1.7,2.2,1.8,2.1,2.4,3.4,777.0,41.0,5.0,35.0,1.0,0.0,14.0,18.0,15.0,17.0,20.0,28.0,KENNEWICK SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,6-8,N,Y,"1701 S CLODFELTER RD
KENNEWICK
(46.195242, -119.253432)"
EPHRATA HIGH SCHOOL,725.0,93.5,5.1,0.3,3.3,1.5,0.1,3.9,3.2,3.3,3.7,3.9,1.9,678.0,37.0,2.0,24.0,11.0,1.0,28.0,23.0,24.0,27.0,28.0,14.0,EPHRATA SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,N,N,"333 4TH AVE NW
EPHRATA
(47.325408, -119.551729)"
SNOQUALMIE ACCESS,9.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SNOQUALMIE VALLEY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-12,Y,Y,"P.O. BOX 400
SNOQUALMIE"
HILDER PEARSON ELEMENTARY,325.0,96.9,2.8,1.2,1.5,0.0,0.0,1.2,1.2,1.2,1.5,1.8,2.5,315.0,9.0,4.0,5.0,0.0,0.0,4.0,4.0,4.0,5.0,6.0,8.0,NORTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N,"15650 CENTRAL VALLEY RD NW
POULSBO
(47.704654, -122.654613)"
ESQUIRE HILLS ELEMENTARY,340.0,94.4,1.8,0.9,0.6,0.0,0.3,1.2,1.2,1.5,1.5,1.2,1.8,321.0,6.0,3.0,2.0,0.0,1.0,4.0,4.0,5.0,5.0,4.0,6.0,CENTRAL KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-6,Y,Y,"2650 NE JOHN CARLSON RD
BREMERTON
(47.632179, -122.614999)"
FIRST PRESBYTERIAN CHRISTIAN SCHOOL,55.0,83.6,16.4,0.0,16.4,0.0,0.0,12.7,12.7,12.7,14.5,16.4,16.4,46.0,9.0,0.0,9.0,0.0,0.0,7.0,7.0,7.0,8.0,9.0,9.0,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-4,Y,N,"318 S CEDAR
SPOKANE
(47.652478, -117.432905)"
WINDWARD HIGH SCHOOL,122.0,57.4,8.2,0.8,7.4,0.0,0.0,5.7,4.1,4.1,3.3,4.1,4.1,70.0,10.0,1.0,9.0,0.0,0.0,7.0,5.0,5.0,4.0,5.0,5.0,FERNDALE SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N,"5275 NORTHWEST AVE
FERNDALE"
ADAMS ELEMENTARY SCHOOL,581.0,86.1,7.2,2.6,5.3,0.0,0.0,2.8,2.8,3.1,4.8,5.3,5.0,500.0,42.0,15.0,31.0,0.0,0.0,16.0,16.0,18.0,28.0,31.0,29.0,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"6110 28 AV NW
SEATTLE
(47.673416, -122.392985)"
DISCOVERY ELEMENTARY,587.0,98.3,1.4,0.5,0.9,0.0,0.0,0.9,0.9,1.2,1.0,1.2,1.0,577.0,8.0,3.0,5.0,0.0,0.0,5.0,5.0,7.0,6.0,7.0,6.0,ISSAQUAH SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"2300 228TH AVE SE
ISSAQUAH
(47.589313, -122.035388)"
ENGLISH CROSSING ELEMENTARY,323.0,91.0,5.6,1.5,3.4,0.6,0.0,3.4,3.4,4.0,4.0,3.7,5.3,294.0,18.0,5.0,11.0,2.0,0.0,11.0,11.0,13.0,13.0,12.0,17.0,LAKEWOOD SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,"P.O. BOX 50
NORTH LAKEWOOD"
ALFARETTA HOUSE,17.0,58.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,11-12,N,N,"10903 GRAVELLY LAKE DR SW
LAKEWOOD
(47.15803, -122.520559)"
OLALLA ELEMENTARY SCHOOL,373.0,93.0,6.2,0.0,6.2,0.0,0.0,3.5,3.5,4.0,3.8,3.2,5.4,347.0,23.0,0.0,23.0,0.0,0.0,13.0,13.0,15.0,14.0,12.0,20.0,SOUTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -6,Y,Y,"6100 SE DENNY BOND BLVD
PORT ORCHARD"
BLAINE HIGH SCHOOL,684.0,87.7,8.5,2.3,6.0,0.1,0.0,4.5,3.9,4.4,2.6,4.7,5.1,600.0,58.0,16.0,41.0,1.0,0.0,31.0,27.0,30.0,18.0,32.0,35.0,BLAINE SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N,"1055 H STREET
BLAINE
(48.993993, -122.737086)"
LITTLE STAR MONTESSORI SCHOOL,3.0,66.7,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,METHOW VALLEY SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-K,Y,N,"PO BOX 608
WINTHROP"
STRATTON ELEMENTARY,371.0,66.0,18.6,7.3,11.3,0.3,0.3,8.4,8.4,8.6,8.1,7.3,18.6,245.0,69.0,27.0,42.0,1.0,1.0,31.0,31.0,32.0,30.0,27.0,69.0,NEWPORT SCHOOL DISTRICT,PEND OREILLE,EDUCATIONAL SERVICE DISTRICT 101,PK-4,Y,N,"P. O. BOX 70
NEWPORT"
DISCOVERY LAB SCHOOL,211.0,94.3,4.7,1.9,2.8,0.0,0.0,2.4,2.4,1.9,2.4,2.4,4.3,199.0,10.0,4.0,6.0,0.0,0.0,5.0,5.0,4.0,5.0,5.0,9.0,YAKIMA SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,1-8,N,Y,"2810 CASTLEVALE RD
YAKIMA
(46.612523, -120.547405)"
FORT VANCOUVER HIGH SCHOOL,1529.0,90.5,4.8,0.8,3.8,0.5,0.1,3.5,3.2,3.0,2.4,2.2,3.5,1383.0,73.0,12.0,58.0,7.0,2.0,54.0,49.0,46.0,37.0,33.0,53.0,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N,"5700 E 18TH ST
VANCOUVER
(45.635214, -122.612535)"
CASCADE CHRISTIAN ACADEMY,133.0,89.5,10.5,0.0,1.5,3.0,6.0,10.5,10.5,10.5,10.5,9.0,10.5,119.0,14.0,0.0,2.0,4.0,8.0,14.0,14.0,14.0,14.0,12.0,14.0,WENATCHEE SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,P-12,Y,Y,"600 N WESTERN AVE
WENATCHEE
(47.430892, -120.346237)"
TIMBER RIDGE ELEMENTARY SCHOOL,601.0,87.4,3.5,0.8,2.7,0.0,0.0,2.0,1.8,2.8,2.0,1.7,3.0,525.0,21.0,5.0,16.0,0.0,0.0,12.0,11.0,17.0,12.0,10.0,18.0,SNOQUALMIE VALLEY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,Y,N,"34412 SE SWENSON DR
SNOQUALMIE"
HIDDEN RIVER MIDDLE SCHOOL,465.0,90.5,8.6,1.5,6.7,0.6,0.0,3.2,1.9,2.8,2.6,4.5,4.7,421.0,40.0,7.0,31.0,3.0,0.0,15.0,9.0,13.0,12.0,21.0,22.0,MONROE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y,"9224 PARADISE LAKE RD.
SNOHOMISH
(47.801871, -122.108938)"
CHILD SCHOOL-NEW HEIGHTS SCHOOL AT CHILDREN'S INSTITUTE FOR LEARNING DIFFERENCES (CHILD),41.0,85.4,7.3,4.9,0.0,2.4,0.0,7.3,7.3,7.3,7.3,7.3,7.3,35.0,3.0,2.0,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,MERCER ISLAND SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y,"4030 86TH AVE SE
MERCER ISLAND
(47.573595, -122.224239)"
ABRAHAM LINCOLN ELEMENTARY,502.0,97.0,1.8,0.0,1.8,0.0,0.0,1.2,1.2,1.6,1.0,1.0,1.4,487.0,9.0,0.0,9.0,0.0,0.0,6.0,6.0,8.0,5.0,5.0,7.0,WENATCHEE SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N,"1224 METHOW ST
WENATCHEE
(47.406893, -120.308445)"
CHIMACUM ELEMENTARY SCHOOL,201.0,86.1,8.0,2.0,5.5,0.5,0.0,4.5,4.5,5.0,4.5,5.0,7.0,173.0,16.0,4.0,11.0,1.0,0.0,9.0,9.0,10.0,9.0,10.0,14.0,CHIMACUM SCHOOL DISTRICT,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,3-5,N,N,"PO BOX 278
CHIMACUM"
MEDICAL LAKE HIGH SCHOOL,542.0,87.6,7.2,1.5,5.5,0.2,0.4,4.4,3.7,3.1,3.3,4.8,4.6,475.0,39.0,8.0,30.0,1.0,2.0,24.0,20.0,17.0,18.0,26.0,25.0,MEDICAL LAKE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N,"PO BOX 128
MEDICAL LAKE"
EASTSIDE ACADEMY,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N,"1717 BELLEVUE WAY NE
BELLEVUE
(47.626417, -122.201719)"
SEATTLE MINI MEDICAL SCHOOL,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-12,N,N,"2400 S 240TH ST (MAIL 14616 26TH LN S SEATAC WA 98168-4200)
DES MOINES"
LES LILAS FRENCH BILINGUAL COMMUNITY SCHOOL,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-2,Y,N,"6601 132ND AVE NE (MAIL: 11935 SE 76TH ST NEWCASTLE WA 98056-1777)
KIRKLAND"
CHELAN HIGH SCHOOL,450.0,92.2,5.1,0.7,3.6,0.9,0.0,3.3,3.3,2.7,2.2,2.4,3.8,415.0,23.0,3.0,16.0,4.0,0.0,15.0,15.0,12.0,10.0,11.0,17.0,LAKE CHELAN SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,N,N,"PO BOX 369
CHELAN"
CRESTON JR-SR HIGH SCHOOL,46.0,95.7,4.3,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,44.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,CRESTON SCHOOL DISTRICT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,7-12,N,N,"PO BOX 17
CRESTON"
ENTERPRISE ELEMENTARY SCHOOL,420.0,92.9,3.3,0.0,3.1,0.0,0.2,2.9,2.9,2.9,2.9,3.1,3.1,390.0,14.0,0.0,13.0,0.0,1.0,12.0,12.0,12.0,12.0,13.0,13.0,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"35101 5TH AVE SW
FEDERAL WAY
(47.286365, -122.341726)"
CATHARINE BLAINE K-8 SCHOOL,765.0,85.1,6.3,3.0,3.8,0.0,0.1,1.4,1.4,1.2,2.2,3.8,4.7,651.0,48.0,23.0,29.0,0.0,1.0,11.0,11.0,9.0,17.0,29.0,36.0,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -8,Y,Y,"2550 34 AV W
SEATTLE
(47.641905, -122.400984)"
NACHES VALLEY ELEMENTARY SCHOOL,491.0,95.5,3.3,0.6,2.2,0.4,0.0,2.0,2.2,2.0,2.2,2.2,2.0,469.0,16.0,3.0,11.0,2.0,0.0,10.0,11.0,10.0,11.0,11.0,10.0,NACHES VALLEY SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -4,Y,N,"151 BONLOW DR
YAKIMA"
CAPTAIN STRONG,715.0,90.1,8.0,1.7,5.6,0.7,0.1,6.3,6.0,6.6,6.7,5.9,7.3,644.0,57.0,12.0,40.0,5.0,1.0,45.0,43.0,47.0,48.0,42.0,52.0,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -4,Y,N,"PO BOX 200
BATTLE GROUND"
BEL-RED BILINGUAL ACADEMY,48.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N,"15061 BEL-RED RD
BELLEVUE
(47.627634, -122.138009)"
CARTER LAKE ELEMENTARY SCHOOL,465.0,98.1,0.6,0.2,0.2,0.0,0.2,0.4,0.6,0.4,0.4,0.2,0.4,456.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"3415 LINCOLN BLVD SW
LAKEWOOD
(47.129108, -122.520832)"
SNOQUALMIE ELEMENTARY,546.0,89.7,7.7,1.5,6.4,0.0,0.0,3.8,3.8,6.0,5.1,5.9,6.8,490.0,42.0,8.0,35.0,0.0,0.0,21.0,21.0,33.0,28.0,32.0,37.0,SNOQUALMIE VALLEY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"755 PARK ST
SNOQUALMIE"
CALVARY CHRISTIAN SCHOOL,181.0,80.7,19.3,0.6,18.2,0.6,0.0,3.9,3.9,5.0,4.4,6.6,5.5,146.0,35.0,1.0,33.0,1.0,0.0,7.0,7.0,9.0,8.0,12.0,10.0,KENNEWICK SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,P-8,Y,Y,"10611 W CLEARWATER AVE
KENNEWICK
(46.203833, -119.253967)"
GARDNER SCHOOL,90.0,80.0,14.4,1.1,13.3,0.0,0.0,11.1,11.1,10.0,13.3,8.9,12.2,72.0,13.0,1.0,12.0,0.0,0.0,10.0,10.0,9.0,12.0,8.0,11.0,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,P-8,Y,Y,"16413 NE 50TH AVE
VANCOUVER
(45.740606, -122.620528)"
BOSTON HARBOR ELEMENTARY,159.0,78.0,10.7,1.9,8.2,0.6,0.0,6.9,6.9,4.4,6.3,5.7,8.8,124.0,17.0,3.0,13.0,1.0,0.0,11.0,11.0,7.0,10.0,9.0,14.0,OLYMPIA SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -5,Y,N,"7300 ZANGLE RD NE
OLYMPIA
(47.136387, -122.886154)"
GRIFFIN SCHOOL,628.0,66.4,7.2,0.8,6.5,0.2,0.0,3.5,3.3,4.0,4.8,4.9,6.4,417.0,45.0,5.0,41.0,1.0,0.0,22.0,21.0,25.0,30.0,31.0,40.0,GRIFFIN SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -8,Y,Y,"6530 33RD AVE NW
OLYMPIA
(47.079637, -123.018311)"
SWIFTWATER LEARNING CENTER,32.0,81.3,3.1,0.0,3.1,0.0,0.0,3.1,3.1,0.0,0.0,0.0,3.1,26.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,CLE ELUM-ROSLYN SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,8-12,N,N,"P.O. BOX 906
ROSLYN"
ODESSA HIGH SCHOOL,112.0,97.3,1.8,0.0,1.8,0.0,0.0,1.8,1.8,0.9,0.9,0.9,1.8,109.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,ODESSA SCHOOL DISTRICT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,7-12,N,N,"P.O. BOX 248
ODESSA"
WAHLUKE HIGH SCHOOL,553.0,93.3,0.9,0.2,0.5,0.2,0.0,0.7,0.4,0.5,0.7,0.5,0.5,516.0,5.0,1.0,3.0,1.0,0.0,4.0,2.0,3.0,4.0,3.0,3.0,WAHLUKE SCHOOL DISTRICT,GRANT,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N,"P.O. BOX 907
MATTAWA"
HARRAH ELEMENTARY SCHOOL,592.0,99.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOUNT ADAMS SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-6,Y,Y,"P.O. BOX 159
HARRAH"
RAINIER MIDDLE SCHOOL,181.0,63.5,13.8,1.7,12.2,0.0,0.0,8.3,7.2,8.8,8.3,7.7,11.0,115.0,25.0,3.0,22.0,0.0,0.0,15.0,13.0,16.0,15.0,14.0,20.0,RAINIER SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,6-8,N,Y,"PO BOX 98
RAINIER"
RED ROCK ELEMENTARY,594.0,97.3,1.5,0.0,1.5,0.0,0.0,1.3,1.3,1.0,1.2,1.0,1.3,578.0,9.0,0.0,9.0,0.0,0.0,8.0,8.0,6.0,7.0,6.0,8.0,ROYAL SCHOOL DISTRICT,GRANT,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N,"PO BOX 486
ROYAL CITY"
ARTZ FOX ELEMENTARY,564.0,96.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,545.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,MABTON SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -6,Y,Y,"P.O. BOX 40
MABTON"
JOYFUL SCHOLARS MONTESSORI ELEMENTARY SCHOOL,50.0,90.0,6.0,0.0,6.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,6.0,45.0,3.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,WENATCHEE SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K-8,Y,Y,"12 N CHELAN ST (MAIL: 1416 S HILLS DR WENATCHEE WA 98801-3218)
WENATCHEE"
HORIZON MIDDLE SCHOOL,483.0,90.9,3.5,0.2,3.3,0.0,0.0,2.9,2.5,2.9,2.7,2.9,3.1,439.0,17.0,1.0,16.0,0.0,0.0,14.0,12.0,14.0,13.0,14.0,15.0,CENTRAL VALLEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,6-8,N,Y,"3915 S PINES ROAD
SPOKANE VALLEY
(47.621055, -117.238886)"
